date,returns_austria,returns_belgium,returns_finland,returns_france,returns_germany,returns_greece,returns_ireland,returns_italy,returns_netherlands,returns_portugal,returns_spain,returns_sweden,returns_switzerland,returns_uk,,EUI
01/01/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.07%,,155
02/01/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.07%,,155
03/01/2014,0.00%,0.00%,0.63%,0.48%,0.37%,9.55%,0.67%,0.96%,0.54%,2.20%,0.39%,0.52%,-0.11%,0.37%,,155
04/01/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.01%,0.02%,,155
05/01/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,-0.05%,-0.09%,,155
06/01/2014,0.00%,-0.38%,0.00%,-0.47%,-0.08%,-2.85%,0.23%,0.63%,-0.53%,0.33%,0.92%,-0.07%,-0.09%,-0.22%,,155
07/01/2014,0.00%,0.64%,-0.17%,0.83%,0.83%,0.00%,1.87%,1.21%,0.78%,2.43%,2.89%,0.10%,0.06%,0.35%,,155
08/01/2014,1.48%,0.72%,-0.03%,-0.04%,-0.09%,0.00%,0.43%,-0.17%,0.22%,1.39%,0.73%,-0.68%,0.52%,0.10%,,155
09/01/2014,0.15%,-0.14%,0.70%,-0.84%,-0.81%,0.00%,0.91%,0.34%,-0.47%,0.31%,-0.19%,-0.04%,-0.46%,-0.50%,,155
10/01/2014,0.18%,0.21%,0.64%,0.60%,0.55%,2.70%,-0.22%,0.34%,0.49%,0.23%,0.55%,1.02%,0.81%,0.29%,,155
11/01/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.34%,0.00%,-0.07%,,155
12/01/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.37%,0.09%,0.12%,,155
13/01/2014,0.53%,0.33%,0.45%,0.30%,0.39%,0.00%,1.19%,0.65%,0.24%,0.69%,0.73%,-0.31%,0.89%,-0.34%,,155
14/01/2014,-0.23%,-0.13%,-0.50%,0.26%,0.32%,-5.53%,-0.18%,0.17%,0.40%,-1.09%,0.16%,0.58%,-0.75%,0.42%,,155
15/01/2014,1.59%,0.58%,1.12%,1.34%,2.01%,0.00%,0.72%,1.59%,0.50%,0.84%,1.37%,1.49%,0.30%,0.85%,,155
16/01/2014,-0.59%,0.23%,0.00%,-0.30%,-0.17%,1.45%,-0.22%,-0.85%,-0.25%,-0.43%,-0.66%,0.00%,0.68%,-0.25%,,155
17/01/2014,0.32%,0.15%,-0.08%,0.19%,0.26%,-1.21%,0.51%,0.47%,0.16%,0.28%,0.10%,0.88%,0.27%,1.16%,,155
18/01/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.03%,,155
19/01/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,-0.03%,0.06%,,155
20/01/2014,-0.62%,-0.16%,0.16%,-0.11%,-0.28%,1.95%,-0.10%,0.02%,-0.06%,-0.12%,-0.11%,-0.31%,-0.04%,0.00%,,155
21/01/2014,-0.32%,-0.19%,-0.65%,0.02%,0.15%,-3.32%,0.27%,0.12%,-0.69%,-0.37%,-0.93%,-0.02%,0.05%,0.19%,,155
22/01/2014,0.41%,-0.22%,0.51%,0.03%,-0.10%,-6.11%,0.30%,-0.19%,0.56%,-3.36%,-0.75%,0.43%,-0.34%,0.53%,,155
23/01/2014,-1.00%,-0.01%,-1.32%,-1.02%,-0.92%,-0.13%,-0.80%,-0.72%,-0.88%,-0.09%,-0.38%,-1.05%,-0.21%,-1.41%,,155
24/01/2014,-2.02%,-2.12%,-2.06%,-2.83%,-2.51%,-2.13%,-2.06%,-2.33%,-2.52%,-0.97%,-3.70%,-1.97%,-2.06%,-2.48%,,155
25/01/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.16%,0.02%,,155
26/01/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.27%,-0.05%,,155
27/01/2014,-0.83%,-0.39%,-1.17%,-0.41%,-0.46%,0.00%,-1.63%,-0.44%,-0.78%,-1.25%,-1.13%,0.15%,-1.08%,-1.10%,,155
28/01/2014,1.56%,0.83%,0.83%,0.98%,0.62%,-2.21%,1.73%,0.90%,0.37%,1.65%,1.23%,0.16%,0.46%,0.45%,,155
29/01/2014,-1.75%,-0.75%,-0.23%,-0.68%,-0.75%,-0.44%,0.04%,-0.57%,-0.74%,-0.23%,0.17%,-1.28%,-0.13%,-0.52%,,155
30/01/2014,-0.69%,0.59%,-0.70%,0.55%,0.39%,-0.49%,-0.82%,0.39%,0.07%,-0.29%,0.69%,-0.58%,0.74%,0.28%,,155
31/01/2014,-0.87%,-0.23%,-1.58%,-0.34%,-0.72%,0.64%,-0.69%,0.03%,-0.71%,-1.01%,-0.45%,0.07%,-0.11%,-0.29%,,155
01/02/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,,148
02/02/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.03%,0.00%,,148
03/02/2014,-1.33%,-1.64%,-0.98%,-1.40%,-1.30%,4.70%,0.23%,-2.67%,-0.84%,-1.41%,-1.98%,-1.69%,-0.74%,-1.74%,,148
04/02/2014,-0.23%,0.12%,0.78%,0.24%,-0.64%,0.72%,0.08%,0.60%,-0.17%,1.57%,0.30%,0.09%,-0.41%,-0.05%,,148
05/02/2014,0.87%,-0.02%,0.68%,0.01%,-0.13%,-0.13%,0.59%,0.26%,-0.09%,0.22%,0.21%,0.71%,0.12%,-0.05%,,148
06/02/2014,0.93%,1.65%,2.81%,1.69%,1.53%,5.10%,1.48%,2.25%,1.49%,2.44%,1.92%,1.09%,1.23%,1.12%,,148
07/02/2014,1.10%,0.51%,0.78%,0.95%,0.49%,3.37%,1.36%,0.96%,0.29%,0.58%,1.08%,0.21%,1.17%,0.39%,,148
08/02/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.15%,0.00%,-0.15%,,148
09/02/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.04%,0.28%,,148
10/02/2014,-0.14%,0.14%,0.86%,0.21%,-0.13%,1.37%,-0.52%,-0.05%,0.03%,-0.09%,-0.89%,0.37%,0.12%,0.10%,,148
11/02/2014,1.94%,1.02%,1.26%,1.08%,2.01%,-2.28%,0.98%,1.03%,1.36%,1.33%,1.08%,1.92%,0.33%,1.51%,,148
12/02/2014,0.51%,0.55%,-0.15%,0.52%,0.64%,0.32%,1.37%,1.29%,0.62%,-0.41%,-0.10%,-0.23%,0.55%,1.37%,,148
13/02/2014,-1.60%,0.07%,-0.12%,0.17%,0.59%,-1.10%,-0.14%,-0.17%,-0.11%,0.59%,0.18%,-0.72%,-0.06%,-0.59%,,148
14/02/2014,1.05%,0.53%,0.19%,0.63%,0.68%,0.05%,0.35%,1.61%,0.49%,1.49%,0.34%,0.64%,0.42%,0.47%,,148
15/02/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,-0.01%,,148
16/02/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.10%,0.02%,0.07%,,148
17/02/2014,0.54%,0.42%,0.00%,-0.11%,-0.06%,2.20%,0.77%,0.11%,0.57%,0.00%,-0.14%,0.18%,-0.05%,0.79%,,148
